time_s,latitude,longitude,rel_alt_m,battery_pct
78.3062,47.3978,8.54741,27.736,0
78.5065,47.3978,8.54741,27.436,0
78.7067,47.3978,8.54741,27.135,0
78.9068,47.3978,8.54741,26.834,0
79.1069,47.3978,8.54741,26.534,0
79.3073,47.3978,8.54741,26.232,0
79.5075,47.3978,8.54741,25.931,0
79.7076,47.3978,8.54741,25.631,0
79.9077,47.3978,8.54741,25.331,0
80.1079,47.3978,8.54741,25.031,0
80.308,47.3978,8.54741,24.731,0
80.5082,47.3978,8.54741,24.43,0
80.7083,47.3978,8.54741,24.13,0
80.909,47.3978,8.54741,23.829,0
81.1091,47.3978,8.54741,23.532,0
81.3093,47.3978,8.54741,23.234,0
81.5094,47.3978,8.54741,22.936,0
81.7096,47.3978,8.54741,22.625,0
81.9099,47.3978,8.54741,22.337,0
82.11,47.3978,8.54741,22.037,0
82.3101,47.3978,8.54741,21.737,0
82.5102,47.3978,8.54741,21.437,0
82.7105,47.3978,8.54741,21.136,0
82.9107,47.3978,8.54741,20.835,0
83.1108,47.3978,8.54741,20.534,0
83.3109,47.3978,8.54741,20.235,0
83.5111,47.3978,8.54741,19.936,0
83.7115,47.3978,8.54741,19.633,0
83.9117,47.3978,8.54741,19.331,0
84.1118,47.3978,8.54741,19.031,0
84.312,47.3978,8.54741,18.732,0
84.5121,47.3978,8.54741,18.431,0
84.7123,47.3978,8.54741,18.129,0
84.9124,47.3978,8.54741,17.829,0
85.1125,47.3978,8.54741,17.517,0
85.3127,47.3978,8.54741,17.23,0
85.5128,47.3978,8.54741,16.931,0
85.7129,47.3978,8.54741,16.632,0
85.9131,47.3978,8.54741,16.332,0
86.1134,47.3978,8.54741,16.032,0
86.3135,47.3978,8.54741,15.731,0
86.5137,47.3978,8.54741,15.43,0
86.7138,47.3978,8.54741,15.129,0
86.9139,47.3978,8.54741,14.816,0
87.1144,47.3978,8.54741,14.527,0
87.3146,47.3978,8.54741,14.228,0
87.5148,47.3978,8.54741,13.928,0
87.7149,47.3978,8.54741,13.628,0
87.9152,47.3978,8.54741,13.329,0
88.1154,47.3978,8.54741,13.031,0
88.3156,47.3978,8.54741,12.732,0
88.5157,47.3978,8.54741,12.432,0
88.717,47.3978,8.54741,12.131,0
88.9171,47.3978,8.54741,11.831,0
89.1177,47.3978,8.54741,11.532,0
89.3178,47.3978,8.54741,11.221,0
89.518,47.3978,8.54741,10.933,0
89.7182,47.3978,8.54741,10.634,0
89.919,47.3978,8.54741,10.333,0
90.1192,47.3978,8.54741,10.032,0
90.3193,47.3978,8.54741,9.734,0
90.5195,47.3978,8.54741,9.447,0
90.7203,47.3978,8.54741,9.17,0
90.9205,47.3978,8.54741,8.902,0
91.1206,47.3978,8.54741,8.64,0
91.3208,47.3978,8.54741,8.388,0
91.521,47.3978,8.54741,8.142,0
91.722,47.3978,8.54741,7.908,0
91.9221,47.3978,8.54741,7.682,0
92.1223,47.3978,8.54741,7.682,0
92.3226,47.3978,8.54741,7.465,0
92.5228,47.3978,8.54741,7.255,0
92.7229,47.3978,8.54741,7.051,0
92.923,47.3978,8.54741,6.843,0
93.1237,47.3978,8.54741,6.659,0
93.3238,47.3978,8.54741,6.472,0
93.5242,47.3978,8.54741,6.29,0
93.7243,47.3978,8.54741,6.112,0
93.9244,47.3978,8.54741,5.939,0
94.1246,47.3978,8.54741,5.771,0
94.3248,47.3978,8.54741,5.611,0
94.5249,47.3978,8.54741,5.454,0
94.725,47.3978,8.54741,5.3,0
94.9252,47.3978,8.54741,5.15,0
95.1253,47.3978,8.54741,5.006,0
95.3255,47.3978,8.54741,4.866,0
95.5256,47.3978,8.54741,4.725,0
95.7258,47.3978,8.54741,4.583,0
95.926,47.3978,8.54741,4.442,0
96.1265,47.3978,8.54741,4.3,0
96.3266,47.3978,8.54741,4.161,0
96.5267,47.3978,8.54741,4.021,0
96.727,47.3978,8.54741,3.881,0
96.9272,47.3978,8.54741,3.743,0
97.1273,47.3978,8.54741,3.598,0
97.3274,47.3978,8.54741,3.465,0
97.5276,47.3978,8.54741,3.325,0
97.7278,47.3978,8.54741,3.184,0
97.9279,47.3978,8.54741,3.043,0
98.128,47.3978,8.54741,2.902,0
98.3281,47.3978,8.54741,2.763,0
98.5282,47.3978,8.54741,2.626,0
98.7283,47.3978,8.54741,2.488,0
98.9284,47.3978
